    + --- ---------------- --------- +
    |      Slightly better recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.210e-06 |
  2 |   2                3 5.500e-07 |
  3 |   3                4 5.820e-07 |
  4 |   3                5 6.910e-07 |
  5 |   4                8 7.320e-07 |
  6 |   4                9 6.920e-07 |
  7 |   5               16 9.150e-07 |
  8 |   5               17 9.290e-07 |
  9 |   5               19 1.049e-06 |
 10 |   6               38 1.474e-06 |
 11 |   6               42 3.198e-06 |
 12 |   6               46 2.155e-06 |
 13 |   7               98 3.585e-06 |
 14 |   7              107 3.578e-06 |
 15 |   7              113 3.683e-06 |
 16 |   7              120 4.209e-06 |
 17 |   8              275 7.873e-06 |
 18 |   8              291 8.414e-06 |
 19 |   8              308 8.972e-06 |
 20 |   8              323 9.303e-06 |
 21 |   9              765 2.072e-05 |
 22 |   9              807 1.855e-05 |
 23 |   9              846 1.957e-05 |
 24 |   9              881 2.090e-05 |
 25 |   9              913 2.115e-05 |
 26 |  10             2238 5.029e-05 |
 27 |  10             2332 5.120e-05 |
 28 |  10             2418 5.490e-05 |
 29 |  11             5774 1.322e-04 |
 30 |  11             5848 1.378e-04 |
 31 |  11             5910 1.375e-04 |
 32 |  12            14030 3.098e-04 |
 33 |  12            14134 3.085e-04 |
 34 |  12            14191 3.125e-04 |
 35 |  13            33681 7.294e-04 |
 36 |  13            33845 7.363e-04 |
 37 |  13            33926 7.319e-04 |
 38 |  14            80989 1.704e-03 |
 39 |  14            81237 1.743e-03 |
 40 |  14            81354 1.771e-03 |
 41 |  15           195140 3.877e-03 |
 42 |  15           195508 3.600e-03 |
 43 |  15           195676 3.617e-03 |
 44 |  16           470822 6.018e-03 |
 45 |  16           471361 5.286e-03 |
 46 |  16           473292 5.304e-03 |
 47 |  16           474464 4.326e-03 |
 48 |  17          1155391 1.164e-02 |
 49 |  17          1158838 1.168e-02 |
 50 |  17          1162552 1.174e-02 |
 55 |  19          7078431 7.020e-02 |
 60 |  22        100598776 8.399e-01 |
 65 |  23        234395976 1.909e+00 |
 70 |  25       1182108305 9.258e+00 |
 75 |  26       2566871418 2.005e+01 |
 80 |  27       5483541065 4.155e+01 |
 85 |  28      11616284400 8.696e+01 |
 90 |  29      24655937744 1.839e+02 |
--- + --- ---------------- --------- +
